System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.56(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.41(Debug=False)

Messages
2022-06-12 12:42:06 PM   | Message | Attention: Some items in the PLC project contain special characters. | TIAParser.FormatName() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB BF Faults.Fault Handler 15 Byte"Not Stop"" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB BF Faults.Fault Handler 15 ByteStop" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB BF Faults.Fault Handler 15 ByteInfo" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB BF Faults.Fault Handler 15 ByteGeneral" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB BF Slider Main.Change Of, Move To Order"Move to Orders"" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB BF Slider Main.Stöber G6 Profinet"Operating Hours"" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Variant" of item "RFC_RFC_IDB BF Slider Main.Stöber G6 Profinet.S_GETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Variant" of item "RFC_RFC_IDB BF Slider Main.Stöber G6 Profinet.S_SETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB BF Slider Faults.Fault handler 15 Byte"Not Stop"" is not supported! | TIAParser.CreateMemberInfo() | 
2022-06-12 12:42:06 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB BF Slider Faults.Fault handler 15 ByteStop" is not supported! | TIAParser.CreateMemberInfo() | 
